Frequency [Hz],FIR,IIR
9.157509157509156950e+00,-8.712782805441358747e+00,-3.842240814721539888e+00
9.279609279609278616e+00,-8.273173576304021282e+00,-3.708546841168546937e+00
9.401709401709402059e+00,-7.849895267012988676e+00,-3.579523761809086047e+00
9.523809523809523725e+00,-7.442479515165192794e+00,-3.455033960623146161e+00
9.645909645909645391e+00,-7.050478499345582684e+00,-3.334941679381221213e+00
9.768009768009767058e+00,-6.673463174022820965e+00,-3.219113110697453095e+00
9.890109890109890500e+00,-6.311021657855713229e+00,-3.107416492298739286e+00
1.001221001221001217e+01,-5.962757758688374210e+00,-2.999722200525282823e+00
1.013431013431013383e+01,-5.628289620752543243e+00,-2.895902841337731903e+00
1.025641025641025550e+01,-5.307248481518179517e+00,-2.795833337351979253e+00
1.037851037851037894e+01,-4.999277527289966550e+00,-2.699391009660141449e+00
1.050061050061050061e+01,-4.704030838081329158e+00,-2.606455653422453445e+00
1.062271062271062227e+01,-4.421172413543784430e+00,-2.516909606424831303e+00
1.074481074481074394e+01,-4.150375272816967609e+00,-2.430637809995768173e+00
1.086691086691086738e+01,-3.891320622117514283e+00,-2.347527861851046449e+00
1.098901098901098905e+01,-3.643697084723224844e+00,-2.267470060602375881e+00
1.111111111111111072e+01,-3.407199988748482067e+00,-2.190357441805756533e+00
1.123321123321123238e+01,-3.181530708761838966e+00,-2.116085805558003852e+00
1.135531135531135583e+01,-2.966396057877952686e+00,-2.044553735755736401e+00
1.147741147741147749e+01,-2.761507727472757967e+00,-1.975662611230561971e+00
1.159951159951159916e+01,-2.566581772130776429e+00,-1.909316609046727065e+00
1.172161172161172082e+01,-2.381338137842307745e+00,-1.845422700321146525e+00
1.184371184371184249e+01,-2.205500231831241109e+00,-1.783890638962924768e+00
1.196581196581196593e+01,-2.038794532714824914e+00,-1.724632943787971717e+00
1.208791208791208760e+01,-1.880950239977865257e+00,-1.667564874466354041e+00
1.221001221001220927e+01,-1.731698961987518715e+00,-1.612604401804784704e+00
1.233211233211233093e+01,-1.590774441982604426e+00,-1.559672172852380800e+00
1.245421245421245438e+01,-1.457912321643746401e+00,-1.508691471337168633e+00
1.257631257631257604e+01,-1.332849941988327513e+00,-1.459588173922232723e+00
1.269841269841269771e+01,-1.215326181436906738e+00,-1.412290702770890860e+00
1.282051282051281937e+01,-1.105081330965264286e+00,-1.366729974885903864e+00
1.294261294261294282e+01,-1.001857006288179530e+00,-1.322839348677331994e+00
1.306471306471306448e+01,-9.053960970166441413e-01,-1.280554568190025444e+00
1.318681318681318615e+01,-8.154427526892382705e-01,-1.239813705390863996e+00
1.330891330891330782e+01,-7.317424055004047023e-01,-1.200557100905828678e+00
1.343101343101343126e+01,-6.540418294331464821e-01,-1.162727303558869441e+00
1.355311355311355292e+01,-5.820892353517850282e-01,-1.126269009043047387e+00
1.367521367521367459e+01,-5.156344014221594385e-01,-1.091128998026521302e+00
1.379731379731379626e+01,-4.544288380042694753e-01,-1.057256073977965949e+00
1.391941391941391970e+01,-3.982259859070608199e-01,-1.024601000954876273e+00
1.404151404151404137e+01,-3.467814466098934623e-01,-9.931164415890900710e-01
1.416361416361416303e+01,-2.998532427449252524e-01,-9.627568954748702001e-01
1.428571428571428470e+01,-2.572021068023679358e-01,-9.334786381375632658e-01
1.440781440781440814e+01,-2.185917956731572853e-01,-9.052396607469154199e-01
1.452991452991452981e+01,-1.837894282871921914e-01,-8.779996107160346064e-01
1.465201465201465147e+01,-1.525658432469700621e-01,-8.517197333067163534e-01
1.477411477411477314e+01,-1.246959730055006710e-01,-8.263628143478105592e-01
1.489621489621489658e+01,-9.995923080108187753e-02,-8.018931241542874844e-01
1.501831501831501825e+01,-7.813990625090533326e-02,-7.782763627196844780e-01
1.514041514041513992e+01,-5.902756522883558649e-02,-7.554796062475965801e-01
1.526251526251526158e+01,-4.241744942011627106e-02,-7.334712550629886030e-01
1.538461538461538503e+01,-2.811087076648763686e-02,-7.122209829434182904e-01
1.550671550671550669e+01,-1.591559589754658680e-02,-6.916996879005327115e-01
1.562881562881562836e+01,-5.646215595809044030e-03,-6.718794444209237327e-01
1.575091575091575002e+01,2.875505629560638418e-03,-6.527334571836933552e-01
1.587301587301587169e+01,9.820304677976079977e-03,-6.342360162501902154e-01
1.599511599511599513e+01,1.535112432848554503e-02,-6.163624537278984405e-01
1.611721611721611680e+01,1.962285139886759192e-02,-5.990891018931775447e-01
1.623931623931623847e+01,2.278209258848727312e-02,-5.823932527609056997e-01
1.636141636141636013e+01,2.496699156506923534e-02,-5.662531190793771430e-01
1.648351648351648180e+01,2.630709034829203583e-02,-5.506477967317310318e-01
1.660561660561660347e+01,2.692323747156851951e-02,-5.355572285139659217e-01
1.672771672771672868e+01,2.692754477845950636e-02,-5.209621692619462729e-01
1.684981684981685035e+01,2.642339404374469819e-02,-5.068441523006972371e-01
1.697191697191697202e+01,2.550549391496273466e-02,-4.931854571756269512e-01
1.709401709401709368e+01,2.425998696227829252e-02,-4.799690786411442978e-01
1.721611721611721535e+01,2.276460591838274164e-02,-4.671786968658271366e-01
1.733821733821733702e+01,2.108887750037873737e-02,-4.547986488186813725e-01
1.746031746031745868e+01,1.929437154665088194e-02,-4.428139008059647219e-01
1.758241758241758035e+01,1.743499258800306276e-02,-4.312100221149297585e-01
1.770451770451770557e+01,1.555731041492591782e-02,-4.199731597327227561e-01
