Sample,FIR,IIR
1.930000000000000000e+02,-6.195433663542615141e-03,1.104985733498721382e-05
1.940000000000000000e+02,-7.807610878213583003e-03,1.113750854927248211e-05
1.950000000000000000e+02,-1.771376883077764846e-03,1.117562123827674213e-05
1.960000000000000000e+02,3.900480564952607272e-03,1.116826335477816083e-05
1.970000000000000000e+02,2.154661233115378986e-03,1.111932879998121775e-05
1.980000000000000000e+02,-3.719290293498747537e-03,1.103253750795965068e-05
1.990000000000000000e+02,-5.125909277429919857e-03,1.091143618030103445e-05
2.000000000000000000e+02,-1.260673499925480914e-17,1.075939961289406162e-05
2.010000000000000000e+02,4.819308929055296682e-03,1.057963255949852161e-05
2.020000000000000000e+02,3.287547855568212669e-03,1.037517207941641689e-05
2.030000000000000000e+02,-1.790431465408278420e-03,1.014889031923267028e-05
2.040000000000000000e+02,-3.046605076681767246e-03,9.903497681207424478e-06
2.050000000000000000e+02,1.300363864054478701e-03,9.641546333472634405e-06
2.060000000000000000e+02,5.385773805115377094e-03,9.365434019707061594e-06
2.070000000000000000e+02,4.014958907017087200e-03,9.077408128430934317e-06
2.080000000000000000e+02,-4.075396504541666052e-04,8.779569984469379220e-06
2.090000000000000000e+02,-1.548607383123443582e-03,8.473879327478491832e-06
2.100000000000000000e+02,2.127147890276726277e-03,8.162158944705879678e-06
2.110000000000000000e+02,5.578142367173182826e-03,7.846099427365906242e-06
2.120000000000000000e+02,4.335453144950422721e-03,7.527264022146152203e-06
2.130000000000000000e+02,4.668058583109232986e-04,7.207093551423925592e-06
2.140000000000000000e+02,-5.792161794975684121e-04,6.886911377758475816e-06
2.150000000000000000e+02,2.518296363348465627e-03,6.567928390134716468e-06
2.160000000000000000e+02,5.422195280397459904e-03,6.251247991267209766e-06
2.170000000000000000e+02,4.289718991933938290e-03,5.937871067028421037e-06
2.180000000000000000e+02,9.011349619342740383e-04,5.628700920742753820e-06
2.190000000000000000e+02,-5.867109891747184386e-05,5.324548156688131470e-06
