Frequency [Hz],Input,FIR out,IIR out
4.800000000000000000e+01,1.572037413381578830e+01,1.828119613413889510e+01,1.574816987695091264e+01
4.825000000000000000e+01,2.384172494947467058e+01,2.358742049411846509e+01,2.382257764141092693e+01
4.850000000000000000e+01,2.111677823974313384e+01,2.024860001949655697e+01,2.108937092387840551e+01
4.875000000000000000e+01,6.817307708386226572e+00,4.885744430226077739e+00,6.765945641478677608e+00
4.900000000000000000e+01,8.967204376186511894e+00,9.247943500594033139e+00,8.956412241146139763e+00
4.925000000000000000e+01,7.746450696868020458e+00,7.208735256905675293e+00,7.724497515531928649e+00
4.950000000000000000e+01,1.436475278486047102e+01,1.387256071241300504e+01,1.434081429847029199e+01
4.975000000000000000e+01,2.079000044596359942e+01,2.123356437737799141e+01,2.078135992920078579e+01
5.000000000000000000e+01,1.989664562528207981e+01,1.948768096595161481e+01,1.987410599613169992e+01
5.025000000000000000e+01,1.601931007234854931e+01,1.417989208382536503e+01,1.597690041034424802e+01
5.050000000000000000e+01,2.277903204981010532e+01,2.259116722052466386e+01,2.276134249822043287e+01
5.075000000000000000e+01,1.894970677094147504e+01,1.845171473438026410e+01,1.892652371954010349e+01
5.100000000000000000e+01,9.877994743468018868e+00,8.672999627578121817e+00,9.848754395612719037e+00
5.125000000000000000e+01,9.228036216580305151e+00,7.133675710330216191e+00,9.190474674048834558e+00
5.150000000000000000e+01,1.604835162198856935e+01,1.663358527199817161e+01,1.603834875685813799e+01
5.175000000000000000e+01,1.413066896807520934e+01,1.372123149352828086e+01,1.411034454523533377e+01
5.200000000000000000e+01,1.024240820700609511e+01,1.027037025513820012e+01,1.022507492099696691e+01
5.225000000000000000e+01,1.056795528477288570e+01,8.903771527479655390e+00,1.052565549768640629e+01
5.250000000000000000e+01,2.032848859066574221e+01,1.990804807139352306e+01,2.030557788868440738e+01
5.275000000000000000e+01,2.241770134593789265e+01,2.173116662581868397e+01,2.239368898599542135e+01
5.300000000000000000e+01,2.095798815604040755e+01,2.165760094745231612e+01,2.094911386353355809e+01
5.325000000000000000e+01,1.570853830092129400e+01,1.563886124190832838e+01,1.569378307717638776e+01
5.350000000000000000e+01,1.759840497702332129e+01,1.701754591439368269e+01,1.757238270536656799e+01
